dt,count
2017-04-01,3015
2017-04-02,2938
2017-04-03,3340
2017-04-04,3288
2017-04-05,3523
2017-04-06,3553
2017-04-07,2908
2017-04-08,2470
2017-04-09,2260
2017-04-10,3643
2017-04-11,3093
2017-04-12,2759
2017-04-13,3247
2017-04-14,2923
2017-04-15,3081
2017-04-16,2997
2017-04-17,3039
2017-04-18,2927
2017-04-19,3552
2017-04-20,3305
2017-04-21,2817
2017-04-22,2554
2017-04-23,2247
2017-04-24,2313
2017-04-25,2508
2017-04-26,2911
2017-04-27,3102
2017-04-28,3068
2017-04-29,4876
2017-04-30,3152
2017-05-01,3721
2017-05-02,3479
2017-05-03,3385
2017-05-04,3182
2017-05-05,2789
2017-05-06,2391
2017-05-07,2875
2017-05-08,2805
2017-05-09,2570
2017-05-10,2599
2017-05-11,2827
2017-05-12,2763
2017-05-13,2452
2017-05-14,1558
2017-05-15,2555
2017-05-16,2532
2017-05-17,2576
2017-05-18,3637
2017-05-19,3373
2017-05-20,2455
2017-05-21,1862
2017-05-22,2345
2017-05-23,2504
2017-05-24,2207
2017-05-25,2479
2017-05-26,2389
2017-05-27,2227
2017-05-28,1871
2017-05-29,2970
2017-05-30,2616
2017-05-31,2595
2017-06-01,2687
2017-06-02,2764
2017-06-03,2783
2017-06-04,2251
2017-06-05,2212
2017-06-06,2122
2017-06-07,2543
2017-06-08,2624
2017-06-09,2525
2017-06-10,2947
2017-06-11,2677
2017-06-12,3272
2017-06-13,2531
2017-06-14,2241
2017-06-15,2312
2017-06-16,2273
2017-06-17,2487
2017-06-18,2132
2017-06-19,3676
2017-06-20,3927
2017-06-21,3546
2017-06-22,2524
2017-06-23,2356
2017-06-24,2239
2017-06-25,2149
2017-06-26,1944
2017-06-27,2140
2017-06-28,2468
2017-06-29,2422
2017-06-30,3057
2017-07-01,2238
2017-07-02,1812
2017-07-03,2269
2017-07-04,2098
2017-07-05,2197
2017-07-06,2418
2017-07-07,2826
2017-07-08,2475
2017-07-09,2174
2017-07-10,3293
2017-07-11,3275
2017-07-12,2681
2017-07-13,3264
2017-07-14,3112
2017-07-15,2246
2017-07-16,1854
2017-07-17,2524
2017-07-18,2728
2017-07-19,2848
2017-07-20,2604
2017-07-21,3225
2017-07-22,2359
2017-07-23,2149
2017-07-24,2454
2017-07-25,2835
2017-07-26,2714
2017-07-27,3012
2017-07-28,2430
2017-07-29,2195
2017-07-30,2039
2017-07-31,2516
2017-08-01,2808
2017-08-02,2563
2017-08-03,2729
2017-08-04,3033
2017-08-05,2290
2017-08-06,1954
2017-08-07,2271
2017-08-08,2427
2017-08-09,2345
2017-08-10,2510
2017-08-11,2936
2017-08-12,2524
2017-08-13,2086
2017-08-14,1491
